Table: Table_1

1 ,,,,Bang dû ,liêu bô cuc ,theo ,chiêu ngang ,,,,,
2 ,Ho tên ,Ngay 01 ,Ngay 02 ,Ngay 03 ,Ngay 04 ,Ngay 05 ,Ngay 06 ,Ngay 07 ,Ngay 08 ,Ngay 09 ,Ngay 10 ,
3 ,Nguyen Van A ,288 ,355 ,291 ,485 ,419 ,434 ,289 ,441 ,289 ,283 ,
4 ,Trân Thu Phuong ,337 ,408 ,392 ,457 ,301 ,158 ,473 ,334 ,388 ,136 ,
5 ,Dao Thanh Thuy ,483 ,169 ,315 ,437 ,285 ,279 ,380 ,250 ,174 ,274 ,
6 ,Ngô Binh Phu ,275 ,490 ,275 ,199 ,430 ,342 ,279 ,143 ,385 ,182 ,
7 ,Nguyen Van Long ,331 ,279 ,261 ,351 ,469 ,260 ,393 ,143 ,231 ,356 ,
8 ,,,,,,,,,,,,





